SubmissionDate,group1-note,group1-note2,gender,frequency,forms,destination,destination_other,purpose,safety,feel_unsafe,harassment,unsafe_incidents,location_unsafe,gender_safety,discomfort,solutions,safety_precautions,location-Latitude,location-Longitude,location-Altitude,location-Accuracy,meta-instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits
2022-04-20T12:38:32.199Z,,,woman,notoften,taxi,cbd,thika road,shop,very_important,"Uncouth conductors, reckless driving by the drivers, terrible roads & vehicles",yes,physical,"waiyaki way-star bus,",yes,nighttime_weekday,"maintained vehicles, trained conductors, police check,improved roads","wear a safety belt(none in most matatus), carry sanitizer because of money exchange",-1.277952,36.85417,0.1,12490.74441,uuid:12bdd9bb-dbd7-410f-8aa8-4f6f9bd54d4d,uuid:12bdd9bb-dbd7-410f-8aa8-4f6f9bd54d4d,11,Safety in Public Transit Survey v2,0,0,,,,0
2022-04-20T06:58:36.280Z,,,woman,only,Matatu,thikard,Jogoo road,work,very_important,Reckless driving/Intoxicated driving,yes,non_verbal,"Forestation,archives",yes,nighttime_weekday,Very strict rules when it comes to public sector transportation,I may use my keys as a weapon,-1.268677,36.747494,1804.800049,20,uuid:7b5ce041-250c-4284-9637-6293a820b4ff,uuid:7b5ce041-250c-4284-9637-6293a820b4ff,11,Safety in Public Transit Survey v2,0,0,,,,0
2022-04-18T07:12:46.333Z,,,man,only,Matatu,mombasard,Outer ring road,work,very_important,The vehicle condition and worthness,no,verbal,On traffic jam,no,nighttime_weekday,Good policy in place,None,-1.31121,36.897996,1609.700073,77.59999847,uuid:9f540cc4-d057-48cb-8e84-8a482806953d,uuid:9f540cc4-d057-48cb-8e84-8a482806953d,11,Safety in Public Transit Survey v2,0,0,,,,0
2022-04-17T09:45:46.095Z,,,woman,only,Matatu,cbd,Survey - Thika Road,work,very_important,"Careless driving especially on big buses, boarding a matatu with a majority passengers being men",yes,physical,"Mountain Mall, Thika Road",yes,nighttime_weekday,A structured system that regulates who is in the transit industry and policies in place to hold people accountable for their actions.,"I actively scan through a matatu to assess the gender ratio, I only board known matatu saccos or if in a new place I board a matatu with a yellow psv line",-1.30109,36.89208,1608.400024,13.84399986,uuid:2e5f72fd-162e-4a39-96e3-64f18061bee6,uuid:2e5f72fd-162e-4a39-96e3-64f18061bee6,11,Safety in Public Transit Survey v2,0,0,,,,0
2022-04-13T22:25:51.597Z,,,man,only,taxi,thikard,Kinoo,work,important,Accidents,yes,verbal,,no,nighttime_weekday,Proper management,Sitting down,-1.140003,36.969284,0,0,uuid:17b6e9bb-6054-48a6-92f6-1281456956c5,uuid:17b6e9bb-6054-48a6-92f6-1281456956c5,11,Safety in Public Transit Survey v2,0,0,,,,0
2022-04-13T11:36:50.896Z,,,woman,only,taxi,other_destination,Ngong road,work,very_important,Speeding and overtaking,yes,physical,Kangundo road,no,nighttime_weekday,One conductor,I always have a razor,-1.281727,36.778186,1749.099976,20,uuid:788632bd-34e7-487b-b717-118f1a436378,uuid:788632bd-34e7-487b-b717-118f1a436378,11,Safety in Public Transit Survey v2,0,0,,,,0
2022-04-13T10:20:43.412Z,,,woman,only,Matatu,other_destination,Industrial area,work,very_important,Harassment and theft,yes,physical,Jogoo road,yes,nighttime_weekday,"Less conductors in a matatu to avoid thieves posing as conductors,  not overloading.","Avoiding overcrowded matatus, boarding matatus belonging to a reputable sacco",-1.2975,36.872362,1634.779597,5.368356917,uuid:26319543-16e7-4ee3-a569-de9208bd38df,uuid:26319543-16e7-4ee3-a569-de9208bd38df,11,Safety in Public Transit Survey v2,0,0,,,,0
2022-04-13T08:11:52.933Z,,,man,only,Matatu,thikard,Waiyaki way,work,very_important,Accidents,no,physical,CBD,no,nighttime_weekend,Increase of cctvs in public transport,Not using phones in matatus,-1.218856,36.777882,1758.300049,20,uuid:0ed21372-a1ab-4130-8e84-e08273b43989,uuid:0ed21372-a1ab-4130-8e84-e08273b43989,11,Safety in Public Transit Survey v2,0,0,,,,0
2022-04-13T06:02:43.272Z,,,man,only,Matatu,thikard,CBD,work,important,Theft cases,yes,physical,,no,rest_of_day_weekend,Use of Sacco's,Making sure that anyone boarding a matatu should be checked probably to ensure the safety of others,27.2076,77.4658,0,0,uuid:f5cbb967-22ac-4225-b2ed-d18d60486556,uuid:f5cbb967-22ac-4225-b2ed-d18d60486556,11,Safety in Public Transit Survey v2,0,0,,,,0
2022-04-13T05:44:38.474Z,,,woman,only,Matatu,mombasard,CBD,school,very_important,Harassment,yes,verbal,Ronald Ngala street,yes,nighttime_weekday,Educating matatu personnelle,"Sit next to a girl, travel with friends/colleagues",-0.742404,35.358112,0,2500,uuid:b5acb7a1-715e-474e-a32c-1c2cea670231,uuid:b5acb7a1-715e-474e-a32c-1c2cea670231,11,Safety in Public Transit Survey v2,0,0,,,,0
